  BK:CH CHAN  FREQUENCY  MODE  LABEL

KD7DVD monitors these:
  A0:00 0000: 1292.2000  NFM   23 cm   
  B0:11 0411:    0.1300  AM    KKOL    
  B0:12 0412:    0.1590  AM    KLFE    
  B0:13 0413:    0.1680  AM    KAZJ    
  B0:14 0414:   71.7500  WFM   KOMO TV 
  B0:15 0415:   81.7600  WFM   KING TV 
  B0:16 0416:   88.1000  WFM   KPLU FM 
  B0:17 0417:   89.5000  WFM   KNHC FM 
  B0:18 0418:   90.3000  WFM   KCMU FM 
  B0:19 0419:   91.3000  WFM   KBCS FM 
  B0:20 0420:   93.3000  WFM   KUBE FM 
  B0:21 0421:   94.1000  WFM   KMPS FM 
  B0:22 0422:   94.9000  WFM   KUOW FM 
  B0:23 0423:   95.7000  WFM   KJR  FM 
  B0:24 0424:   96.5000  WFM   KYCW FM 
  B0:25 0425:   98.1000  WFM   KING FM 
  B0:26 0426:   98.9000  WFM   KWJZ FM 
  B0:27 0427:   99.9000  WFM   KISW FM 
  B0:28 0428:  100.7000  WFM   KIRO FM 
  B0:29 0429:  101.5000  WFM   KPLZ FM 
  B0:30 0430:  102.5000  WFM   KZOK FM 
  B0:31 0431:  103.7000  WFM   KMTT FM 
  B0:32 0432:  107.7000  WFM   KNDD FM 
  B0:33 0433:  179.7500  WFM   KIRO TV 
  B0:34 0434:  191.7500  WFM   KCTS TV 
  B0:35 0435:  203.7500  WFM   KSTW TV 
  B0:36 0436:  215.7400  WFM   KCPQ TV 
  B0:37 0437:  487.7500  WFM   KONG TV 
  B0:38 0438:  523.7500  WFM   KTZZ TV 
  
Time standards and propagation beacons
  B1:00 0440:    2.5000  AM    WWV     
  B1:01 0441:    5.0000  AM    WWV     
  B1:02 0442:   10.0000  AM    WWV     
  B1:03 0443:   15.0000  AM    WWV     
  B1:04 0444:   20.0000  AM    WWV     
  B1:05 0445:    3.3300  AM    CHU     
  B1:06 0446:    7.3350  AM    CHU     
  B1:07 0447:   14.6700  AM    CHU     
  B1:08 0448:   14.1000  CW    Beacon20
  B1:09 0449:   18.1100  CW    Beacon17
  B1:10 0450:   21.1500  CW    Beacon15
  B1:11 0451:   24.9300  CW    Beacon12
  B1:12 0452:   28.2000  CW    Beacon10
 
A few shortwave broadcasts
  B2:00 0480:    5.9650  AM    BBC     
  B2:01 0481:    5.9750  AM    BBC     
  B2:02 0482:    6.1750  AM    BBC     
  B2:03 0483:    6.1850  AM    BBC     
  B2:04 0484:    6.1950  AM    BBC     
  B2:05 0485:    9.5150  AM    BBC     
  B2:06 0486:    9.5900  AM    BBC     
  B2:07 0487:    9.7000  AM    RNZI    
  B2:08 0488:   15.2200  AM    BBC     
  B2:09 0489:   17.8400  AM    BBC     
  

Common Business Band channels
  C0:00 0800:  151.6250  NFM   Red Dot 
  C0:01 0801:  151.9550  NFM   Purple  
  C0:02 0802:  154.5700  NFM   Blue    
  C0:03 0803:  154.6000  NFM   Green   
  C0:04 0804:  462.5750  NFM   White   
  C0:05 0805:  464.5000  NFM   Yellow  
  C0:06 0806:  464.5500  NFM   Brown   
  C0:07 0807:  467.7625  NFM   J Dot   
  C0:08 0808:  467.8125  NFM   K Dot   
  C0:09 0809:  467.8500  NFM   Silver *
  C0:10 0810:  467.8750  NFM   Gold *  
  C0:11 0811:  467.9000  NFM   Red *   
  C0:12 0812:  467.9250  NFM   Blue *  
  
King County Metro Transit
  C1:01 0841:  452.6500  NFM   Metro 1 
  C1:02 0842:  452.7250  NFM   Metro 2 
  C1:03 0843:  453.3750  NFM   Metro 3 
  C1:04 0844:  452.2750  NFM   Metro 4 
  C1:05 0845:  452.8000  NFM   Metro 5 (data)
  C1:06 0846:  453.8250  NFM   Metro 6 (unused)
  C1:07 0847:  453.5250  NFM   Metro 7 
  C1:08 0848:  452.3500  NFM   Metro 8 
  C1:09 0849:  452.5500  NFM   Metro 9 
  C1:10 0850:  452.3750  NFM   Metro 10 (data)
  C1:11 0851:  457.6500  NFM   Metro 1m
  C1:12 0852:  457.7250  NFM   Metro 2m
  C1:13 0853:  458.3750  NFM   Metro 3m
  C1:14 0854:  457.2750  NFM   Metro 4m
  C1:15 0855:  457.8000  NFM   Metro 5m (data)
  C1:16 0856:  458.8250  NFM   Metro 6m (unused)
  C1:17 0857:  458.5250  NFM   Metro 7m
  C1:18 0858:  457.3500  NFM   Metro 8m
  C1:19 0859:  457.5500  NFM   Metro 9m
  C1:20 0860:  457.3750  NFM   Metro10m (data)
  
King County trunking freqs
  C2:00 0880:  868.8750  NFM   County  
  C2:01 0881:  868.6750  NFM   County  
  C2:02 0882:  868.4750  NFM   County  
  C2:03 0883:  868.1750  NFM   County (data)
  C2:04 0884:  867.7875  NFM   County  
  C2:05 0885:  867.7625  NFM   County  
  C2:06 0886:  867.2875  NFM   County  
  C2:07 0887:  866.8875  NFM   County  
  C2:08 0888:  866.7375  NFM   County  
  C2:09 0889:  866.7125  NFM   County  
  C2:10 0890:  866.6875  NFM   County  
  C2:11 0891:  866.4375  NFM   County  
  C2:12 0892:  866.3375  NFM   County  
  C2:13 0893:  866.3125  NFM   County  
  C2:14 0894:  866.2875  NFM   County  
  C2:15 0895:  854.3625  NFM   County  
  C2:16 0896:  854.1875  NFM   County  
  C2:17 0897:  853.4375  NFM   County  
  C2:18 0898:  852.9125  NFM   County  
  C2:19 0899:  852.6875  NFM   County  
  C2:20 0900:  852.1625  NFM   County  
  C2:21 0901:  851.9875  NFM   County  
  C2:22 0902:  851.9375  NFM   County  
  C2:23 0903:  851.4125  NFM   County  
  C2:24 0904:  851.1875  NFM   County  
  

Band edges
  P0     0.5400     1.7000  AM    10 KHz    AM radio
  P1    87.9000   108.1000  WFM   200 KHz   FM radio
  P2     1.8000     2.0000  LSB   1 KHz     160 m   
  P3     3.5000     4.0000  LSB   1 KHz     80/75 m 
  P4     7.0000     7.3000  USB   1 KHz     40 m    
  P5    10.1000    10.1500  USB   1 KHz     30 m    
  P6    14.0000    14.3500  USB   1 KHz     20 m    
  P7    18.1680    18.2680  USB   1 KHz     17 m    
  P8    21.0000    21.4500  USB   1 KHz     15 m    
  P9    24.8900    24.9900  USB   1 KHz     12 m    
  p0   118.0000   137.0000  AM    25 KHz    Air     
  p1    28.0000    29.7000  USB   1 KHz     10 m    
  p2    50.0000    54.0000  NFM   1 KHz     6 m     
  p3   144.0000   148.0000  NFM   1 KHz     2 m     
  p4   220.0000   225.0000  NFM   1 KHz     1.25 m  
  p5   420.0000   450.0000  NFM   25 KHz    70 cm   
  p6   902.0000   928.0000  NFM   1 KHz     33 cm   
  p7  1240.0000  1300.0000  NFM   25 KHz    23 cm   
